# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   55       2.029129381795e-10       2.138534248933e-14      -6.561527084787e-14       1.284376729841e-16       4.582038616865e-11       5.284465638951e-12      -5.357167494370e-15 
   56       2.056597456436e-10       2.260440364857e-14      -9.959337139260e-14       1.331778366854e-16       4.400715957677e-11       5.096559624054e-12      -4.929674267943e-15 
   57       2.084382950137e-10       2.386175258710e-14      -1.351056362334e-13       1.380030393617e-16       4.229079723056e-11       4.918656681951e-12      -4.937031418391e-15 
   58       2.112479512822e-10       2.515732477489e-14      -1.721953146555e-13       1.429129621607e-16       4.066739826866e-11       4.750315098477e-12      -5.277983896945e-15 
   59       2.140866792119e-10       2.649100995848e-14      -2.109117610536e-13       1.479072605589e-16       3.912998877949e-11       4.590763593481e-12      -5.832290423090e-15 
   60       2.169509485028e-10       2.786265131983e-14      -2.513108112865e-13       1.529855637871e-16       3.766834304062e-11       4.438882170012e-12      -6.459845800160e-15 
   61       2.198372227664e-10       2.927198889732e-14      -2.934433199979e-13       1.581475530477e-16       3.627182359229e-11       4.293505519474e-12      -7.029627721930e-15 
   62       2.227470315436e-10       3.071847691097e-14      -3.373169145527e-13       1.633932179785e-16       3.493905080489e-11       4.154456143576e-12      -7.516115378555e-15 
   63       2.256828736527e-10       3.220142375473e-14      -3.829262851396e-13       1.687226569983e-16       3.367009641332e-11       4.021710199584e-12      -7.923054068273e-15 
   64       2.286466901442e-10       3.372004155838e-14      -4.302642669660e-13       1.741360054838e-16       3.246357487445e-11       3.895086667474e-12      -8.255607719437e-15 
   65       2.316398197202e-10       3.527344357788e-14      -4.793218409684e-13       1.796334376960e-16       3.131656039172e-11       3.774238433576e-12      -8.520427514648e-15 
   66       2.346629541538e-10       3.686064158579e-14      -5.300881345233e-13       1.852151687056e-16       3.022450393983e-11       3.658643374215e-12      -8.725720514897e-15 
   67       2.377160937083e-10       3.848054326165e-14      -5.825504221573e-13       1.908814563195e-16       2.918115028936e-11       3.547595439352e-12      -8.881318283696e-15 
   68       2.407990142412e-10       4.013207032581e-14      -6.366940700439e-13       1.966325911673e-16       2.818020881831e-11       3.440402731440e-12      -8.997655341993e-15 
   69       2.439128780736e-10       4.181454657033e-14      -6.925023548458e-13       2.024688603223e-16       2.722094455332e-11       3.337048279460e-12      -9.082310774230e-15 
   70       2.470588709384e-10       4.352738412660e-14      -7.499566092728e-13       2.083905797356e-16       2.630357616529e-11       3.237647752548e-12      -9.142885920239e-15 
   71       2.502376882467e-10       4.526997014852e-14      -8.090362743341e-13       2.143981070169e-16       2.542758498224e-11       3.142250753900e-12      -9.188072553510e-15 
   72       2.534495035934e-10       4.704166729096e-14      -8.697188986103e-13       2.204918430583e-16       2.459167686782e-11       3.050837198414e-12      -9.227693623766e-15 
   73       2.566939372637e-10       4.884181418821e-14      -9.319801375269e-13       2.266722336571e-16       2.379374409986e-11       2.963313690324e-12      -9.272743999530e-15 
   74       2.599700247385e-10       5.066972593248e-14      -9.957937526268e-13       2.329397711395e-16       2.303082724886e-11       2.879509900840e-12      -9.335431210698e-15 
   75       2.632761852009e-10       5.252469455228e-14      -1.061131610843e-12       2.392949959832e-16       2.229907705655e-11       2.799174945779e-12      -9.429216191110e-15 
   76       2.666108650676e-10       5.440582970392e-14      -1.127960785849e-12       2.457383995492e-16       2.159471003388e-11       2.722043942340e-12      -9.564914326083e-15 
   77       2.699746736847e-10       5.631154614936e-14      -1.196234253475e-12       2.522701082096e-16       2.091716070221e-11       2.648059698699e-12      -9.738087700395e-15 
   78       2.733685816776e-10       5.823998325247e-14      -1.265898490354e-12       2.588901443003e-16       2.026643759013e-11       2.577185057294e-12      -9.939417105386e-15 
   79       2.767932631086e-10       6.018915372200e-14      -1.336896162136e-12       2.655985195048e-16       1.964216305169e-11       2.509334154101e-12      -1.015839837688e-14 
   80       2.802490778244e-10       6.215694081347e-14      -1.409166063344e-12       2.723952344496e-16       1.904355552195e-11       2.444370235339e-12      -1.038330235114e-14 
   81       2.837360538043e-10       6.414109553103e-14      -1.482643057216e-12       2.792802782998e-16       1.846941177254e-11       2.382103474196e-12      -1.060113482076e-14 
   82       2.872538695080e-10       6.613923382942e-14      -1.557258015557e-12       2.862536283542e-16       1.791808916718e-11       2.322288787543e-12      -1.079759649063e-14 
   83       2.908018362237e-10       6.814883381580e-14      -1.632937758588e-12       2.933152496406e-16       1.738748791724e-11       2.264623652648e-12      -1.095704293388e-14 
   84       2.943792656883e-10       7.016748491664e-14      -1.709613402597e-12       3.004651098506e-16       1.687556144731e-11       2.208819423730e-12      -1.106573114627e-14 
   85       2.979866816393e-10       7.219368896766e-14      -1.787247124702e-12       3.077032278731e-16       1.638198357320e-11       2.154833648152e-12      -1.112226531641e-14 
   86       3.016247776826e-10       7.422618741488e-14      -1.865809745465e-12       3.150296326016e-16       1.590672645818e-11       2.102672439458e-12      -1.112881737565e-14 
   87       3.052940388648e-10       7.626372257293e-14      -1.945272795548e-12       3.224443481669e-16       1.544954833866e-11       2.052319467768e-12      -1.108800933529e-14 
   88       3.089947304969e-10       7.830503906163e-14      -2.025608596871e-12       3.299473937890e-16       1.500998465548e-11       2.003735011791e-12      -1.100292847950e-14 
   89       3.127268869769e-10       8.034888524258e-14      -2.106790343766e-12       3.375387836314e-16       1.458733918532e-11       1.956855010832e-12      -1.087714255818e-14 
   90       3.164903006132e-10       8.239401465578e-14      -2.188792184135e-12       3.452185266534e-16       1.418067517198e-11       1.911590116798e-12      -1.071471497983e-14 
   91       3.202845104476e-10       8.443918745622e-14      -2.271589300607e-12       3.529866264640e-16       1.378880645779e-11       1.867824746208e-12      -1.052022000446e-14 
   92       3.241087910780e-10       8.648317185050e-14      -2.355157991692e-12       3.608430811745e-16       1.341028861491e-11       1.825416132200e-12      -1.029875793646e-14 
   93       3.279624100949e-10       8.852463558712e-14      -2.439467676570e-12       3.687880003626e-16       1.304376167714e-11       1.784230169647e-12      -1.005548225296e-14 
   94       3.318454689543e-10       9.056179863870e-14      -2.524455357673e-12       3.768219764064e-16       1.268905656307e-11       1.744257176486e-12      -9.794066635137e-15 
