# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  104       3.719019299601e-10       1.098925839122e-13      -3.396842033328e-12       0.000000000000e+00       9.751535500049e-12       1.408565523095e-12      -7.123732631039e-15 
  105       3.760831563180e-10       1.117406552357e-13      -3.484039163804e-12       0.000000000000e+00       9.507496815096e-12       1.380352500353e-12      -6.960583068375e-15 
  106       3.802875926700e-10       1.135595872715e-13      -3.570924889958e-12       0.000000000000e+00       9.270844942977e-12       1.352947825458e-12      -6.826137072546e-15 
  107       3.845150241131e-10       1.153476635536e-13      -3.657435146281e-12       0.000000000000e+00       9.041567651844e-12       1.326346065020e-12      -6.717970564599e-15 
  108       3.887651227310e-10       1.171031742732e-13      -3.743505803623e-12       0.000000000000e+00       8.819599229098e-12       1.300535174687e-12      -6.633367066055e-15 
  109       3.930374433060e-10       1.188244173919e-13      -3.829072710986e-12       0.000000000000e+00       8.604818703588e-12       1.275496281035e-12      -6.569309979340e-15 
  110       3.973314190315e-10       1.205096997548e-13      -3.914071737326e-12       0.000000000000e+00       8.397048067808e-12       1.251203463470e-12      -6.522474868214e-15 
  111       4.016463572233e-10       1.221573382039e-13      -3.998438813351e-12       0.000000000000e+00       8.196050500103e-12       1.227623536112e-12      -6.489221738207e-15 
  112       4.059814350323e-10       1.237656606912e-13      -4.082109973313e-12       0.000000000000e+00       8.001528586858e-12       1.204715829697e-12      -6.465587317051e-15 
  113       4.103356951562e-10       1.253330073918e-13      -4.165021396811e-12       0.000000000000e+00       7.813122544709e-12       1.182431973468e-12      -6.447277335110e-15 
  114       4.147080415515e-10       1.268577318173e-13      -4.247109450588e-12       0.000000000000e+00       7.630408442732e-12       1.160715677067e-12      -6.429658805814e-15 
  115       4.190972351456e-10       1.283382019288e-13      -4.328310730327e-12       0.000000000000e+00       7.452896424649e-12       1.139502512435e-12      -6.407752306091e-15 
  116       4.235020639412e-10       1.297728296286e-13      -4.408560544908e-12       0.000000000000e+00       7.280138111486e-12       1.118734674428e-12      -6.377248993795e-15 
  117       4.279218859591e-10       1.311601609208e-13      -4.487788070746e-12       0.000000000000e+00       7.112067424529e-12       1.098407764941e-12      -6.337718442172e-15 
  118       4.323561445618e-10       1.324987988542e-13      -4.565920684060e-12       0.000000000000e+00       6.948698054451e-12       1.078529313761e-12      -6.289778136804e-15 
  119       4.368041972522e-10       1.337873774737e-13      -4.642885493421e-12       0.000000000000e+00       6.790017184970e-12       1.059104224054e-12      -6.234104962237e-15 
  120       4.412653129268e-10       1.350245631847e-13      -4.718609367777e-12       0.000000000000e+00       6.635984680393e-12       1.040134686697e-12      -6.171436542859e-15 
  121       4.457386691302e-10       1.362090561174e-13      -4.793018964481e-12       0.000000000000e+00       6.486532273158e-12       1.021620094612e-12      -6.102572583784e-15 
  122       4.502233493088e-10       1.373395914905e-13      -4.866040757316e-12       0.000000000000e+00       6.341562751384e-12       1.003556957096e-12      -6.028376211739e-15 
  123       4.547183400649e-10       1.384149409755e-13      -4.937601064522e-12       0.000000000000e+00       6.200949146406e-12       9.859388141521e-13      -5.949775315942e-15 
  124       4.592225284103e-10       1.394339140611e-13      -5.007626076822e-12       0.000000000000e+00       6.064533920326e-12       9.687561508254e-13      -5.867763888989e-15 
  125       4.637346990209e-10       1.403953594167e-13      -5.076041885450e-12       0.000000000000e+00       5.932128153553e-12       9.519963115307e-13      -5.783403367735e-15 
  126       4.682535314900e-10       1.412981662572e-13      -5.142774510175e-12       0.000000000000e+00       5.803510732349e-12       9.356434143867e-13      -5.697823974177e-15 
  127       4.727775975826e-10       1.421412657067e-13      -5.207749927326e-12       0.000000000000e+00       5.678427536370e-12       9.196782655472e-13      -5.612226056341e-15 
  128       4.773053584892e-10       1.429236321627e-13      -5.270894097824e-12       0.000000000000e+00       5.556590626212e-12       9.040782735336e-13      -5.527881429159e-15 
  129       4.818353281263e-10       1.436443293022e-13      -5.332134356198e-12       0.000000000000e+00       5.437740132255e-12       8.888226787056e-13      -5.445888219273e-15 
  130       4.863665891233e-10       1.443026509090e-13      -5.391403690407e-12       0.000000000000e+00       5.321839323005e-12       8.739090722526e-13      -5.366402144501e-15 
  131       4.908983285140e-10       1.448979981448e-13      -5.448636986672e-12       0.000000000000e+00       5.208899500230e-12       8.593385358969e-13      -5.289323046226e-15 
  132       4.954296752215e-10       1.454298379596e-13      -5.503769747956e-12       0.000000000000e+00       5.098918855660e-12       8.451104420289e-13      -5.214533407429e-15 
  133       4.999596985008e-10       1.458977047752e-13      -5.556738131736e-12       0.000000000000e+00       4.991882107205e-12       8.312224060717e-13      -5.141897929736e-15 
  134       5.044874063801e-10       1.463012021683e-13      -5.607478987761e-12       0.000000000000e+00       4.887760135161e-12       8.176702388466e-13      -5.071263110465e-15 
  135       5.090117441039e-10       1.466400045546e-13      -5.655929895822e-12       0.000000000000e+00       4.786509618426e-12       8.044478989381e-13      -5.002456819674e-15 
  136       5.135315925744e-10       1.469138588720e-13      -5.702029203515e-12       0.000000000000e+00       4.688072670707e-12       7.915474450591e-13      -4.935287877208e-15 
  137       5.180457667938e-10       1.471225862643e-13      -5.745716064007e-12       0.000000000000e+00       4.592376476733e-12       7.789589884164e-13      -4.869545629744e-15 
  138       5.225530143064e-10       1.472660837648e-13      -5.786930473800e-12       0.000000000000e+00       4.499332928468e-12       7.666706450751e-13      -4.804999527841e-15 
  139       5.270520136411e-10       1.473443259797e-13      -5.825613310498e-12       0.000000000000e+00       4.408838261323e-12       7.546684883244e-13      -4.741398702987e-15 
  140       5.315413727530e-10       1.473573667719e-13      -5.861706370570e-12       0.000000000000e+00       4.320772690362e-12       7.429365010426e-13      -4.678471544643e-15 
  141       5.360196274656e-10       1.473053409445e-13      -5.895152407116e-12       0.000000000000e+00       4.235000046519e-12       7.314565280622e-13      -4.615925277295e-15 
  142       5.404852399132e-10       1.471884659240e-13      -5.925895167631e-12       0.000000000000e+00       4.151367412808e-12       7.202082285349e-13      -4.553445537495e-15 
  143       5.449365969829e-10       1.470070434443e-13      -5.953879431774e-12       0.000000000000e+00       4.069704760534e-12       7.091690282971e-13      -4.490695950914e-15 
  144       5.493721398027e-10       1.467614715517e-13      -5.979051382373e-12       0.000000000000e+00       3.989860599599e-12       6.983190090589e-13      -4.427387885636e-15 
  145       5.537907698831e-10       1.464522783991e-13      -6.001359679955e-12       0.000000000000e+00       3.911813658564e-12       6.876562197781e-13      -4.363498355310e-15 
  146       5.581914802404e-10       1.460800949992e-13      -6.020754566432e-12       0.000000000000e+00       3.835571574461e-12       6.771827912583e-13      -4.299072894325e-15 
  147       5.625732271490e-10       1.456456469298e-13      -6.037187580704e-12       0.000000000000e+00       3.761135711921e-12       6.669001157780e-13      -4.234157291095e-15 
  148       5.669349293358e-10       1.451497560767e-13      -6.050611598333e-12       0.000000000000e+00       3.688501006372e-12       6.568088278280e-13      -4.168797568417e-15 
  149       5.712754671762e-10       1.445933423761e-13      -6.060980871229e-12       0.000000000000e+00       3.617655807220e-12       6.469087848495e-13      -4.103039963830e-15 
  150       5.755936818890e-10       1.439774255583e-13      -6.068251067324e-12       0.000000000000e+00       3.548581721044e-12       6.371990479713e-13      -4.036930909976e-15 
  151       5.798883747317e-10       1.433031268897e-13      -6.072379310260e-12       0.000000000000e+00       3.481253454782e-12       6.276778627482e-13      -3.970517014955e-15 
  152       5.841583061955e-10       1.425716709164e-13      -6.073324219060e-12       0.000000000000e+00       3.415638658919e-12       6.183426398979e-13      -3.903845042688e-15 
  153       5.884021952013e-10       1.417843872066e-13      -6.071045947818e-12       0.000000000000e+00       3.351697770680e-12       6.091899360394e-13      -3.836961893274e-15 
  154       5.926187182942e-10       1.409427120938e-13      -6.065506225372e-12       0.000000000000e+00       3.289383857215e-12       6.002154344304e-13      -3.769914583346e-15 
  155       5.968065088390e-10       1.400481904194e-13      -6.056668394987e-12       0.000000000000e+00       3.228642458790e-12       5.914139257050e-13      -3.702750226437e-15 
  156       6.009641562156e-10       1.391024772758e-13      -6.044497454037e-12       0.000000000000e+00       3.169411431975e-12       5.827792886113e-13      -3.635516013332e-15 
  157       6.050902050141e-10       1.381073397491e-13      -6.028960093682e-12       0.000000000000e+00       3.111620792834e-12       5.743044707496e-13      -3.568259192430e-15 
  158       6.091831542303e-10       1.370646586622e-13      -6.010024738551e-12       0.000000000000e+00       3.055192560112e-12       5.659814693095e-13      -3.501027050105e-15 
  159       6.132414564604e-10       1.359764303175e-13      -5.987661586419e-12       0.000000000000e+00       3.000040598429e-12       5.578013118078e-13      -3.433866891059e-15 
  160       6.172635170970e-10       1.348447682398e-13      -5.961842647893e-12       0.000000000000e+00       2.946070461462e-12       5.497540368266e-13      -3.366826018687e-15 
  161       6.212478053732e-10       1.336718565356e-13      -5.932541672103e-12       0.000000000000e+00       2.893198744269e-12       5.418310144760e-13      -3.299949944284e-15 
  162       6.251932002218e-10       1.324598016770e-13      -5.899733833108e-12       0.000000000000e+00       2.841413392661e-12       5.340321788279e-13      -3.233276877951e-15 
